"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"123","Cam Newton",2015,2011,0.856914927301365,0.147186968232585,84.7,-0.280530492499135,17.5,657,0.749473134882384,0.0574489318781249,71.8133707865169,-1.50275250415999,0.187700534759358,6142
"124","Brock Purdy",2022,2022,0.856400476847164,0.22261048924712,77.7,0.980170291635488,17.2,259,0.978506226093028,0.224856950764192,84.0822580645161,3.3169739656052,0.133720930232558,1827
"125","Derek Carr",2024,2014,0.855020318371531,0.135103572936495,85.6,3.27637432754495,8.5,300,0.755940936656482,0.0328710814177297,74.4728541964144,0.476696190573837,0.159458051068265,6369
"126","Drew Brees",2012,2001,0.852939030028232,0.142372390401452,84.7,0.994520304035338,13,699,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"127","Kirk Cousins",2020,2012,0.85282251523856,0.156356479676566,83.4,4.5845363404333,17.6,572,0.840447634789991,0.0639162014045631,77.8174397314617,2.16821688592393,0.156331877729258,6663
"128","Matt Schaub",2011,2004,0.852787836620436,0.20955096336644,78.5,-0.122483079911957,14.7,313,0.823389017341311,0.0775286493325375,75.1906028870648,2.2093969176906,0.152347209920283,3571
"129","Alex Smith",2017,2005,0.852540074190605,0.170141839313024,82.1,5.33192991697538,19.4,615,0.676150969530275,0.0309547597539487,69.8296921549156,-0.359460613402984,0.203784570596798,6155
"130","Mike Vick",2010,NA,0.850601173622483,0.191731681104323,79.9,4.84630689587941,17.9,508,0.62657921437262,0.0307781938141324,67.1109600679694,0.0202824669376846,0.185381355932203,2515
"131","Patrick Mahomes",2024,2017,0.848849127620504,0.138596432523679,84.6,2.29797386079557,18.5,770,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"132","Jared Goff",2018,2016,0.848677798675069,0.141654019374294,84.3,0.0296086212838759,16.8,729,0.833830196091678,0.0923319973753453,74.6770649825494,0.0756370606061197,0.15255905511811,6068
